rank;title;platform;playtime_hours;playtime_is_minimum;playtime_original;rating;release_year;genre;game_url;cover_url;cover_source_url
61;Gunfire Reborn;PC;20;FALSE;20;5,7;2021;Shooter / RPG;https://www.igdb.com/games/gunfire-reborn;https://cdn2.steamgriddb.com/grid/819cf1304065c4ae95f2babaf8a03fd7.png;https://www.steamgriddb.com/search/grids?term=Gunfire%20Reborn
62;Donkey Kong Country;Game Boy;5;FALSE;5;5,5;1994;Platform;https://www.igdb.com/games/donkey-kong-country;https://cdn2.steamgriddb.com/grid/befa1d1faf9bc95c1a29d30ea9a751a2.png;https://www.steamgriddb.com/search/grids?term=Donkey%20Kong%20Country
63;Dead Cells;PC;5;FALSE;5;5,2;2018;Platform / Adventure;https://www.igdb.com/games/dead-cells;https://cdn2.steamgriddb.com/grid/0816d3a34b9f13e7e964d4d1d83aa505.png;https://www.steamgriddb.com/search/grids?term=Dead%20Cells
64;Yoshi's Island;Nintendo 64;10;FALSE;10;5;1995;Platform;https://www.igdb.com/games/super-mario-world-2-yoshi-s-island;https://cdn2.steamgriddb.com/grid/59857cc70355243795b398b32447b862.png;https://www.steamgriddb.com/search/grids?term=Super%20Mario%20World%202%20Yoshi's%20Island
65;Mario Kart 64;Nintendo 64;10;FALSE;10;4,8;1996;Racing;https://www.igdb.com/games/mario-kart-64;https://cdn2.steamgriddb.com/grid/8908077ce7fd405516d81c2c929de429.png;https://www.steamgriddb.com/search/grids?term=Mario%20Kart%2064
66;Zeus Pinball;Nintendo DS;2;FALSE;2;4,7;2009;Pinball;https://www.igdb.com/games/pinball-pulse-the-ancients-beckon;;https://www.steamgriddb.com/search/grids?term=Pinball%20Pulse%20The%20Ancients%20Beckon
67;The Legend of Zelda: Majora's Mask;Nintendo 64;7;FALSE;7;4,2;2000;Adventure;https://www.igdb.com/games/the-legend-of-zelda-majora-s-mask;https://cdn2.steamgriddb.com/grid/958c6e525626a72dc5722a63f638a80b.png;https://www.steamgriddb.com/search/grids?term=The%20Legend%20of%20Zelda%20Majora's%20Mask
68;Stronghold;PC;3;FALSE;3;4;2001;Real Time Strategy (RTS);https://www.igdb.com/games/stronghold;https://cdn2.steamgriddb.com/grid/3e50a0fc0b92dacaa9f5aec3ab801fa6.png;https://www.steamgriddb.com/search/grids?term=Stronghold%202001
69;Kirby;Game Boy;2;FALSE;2;3,9;1992;Platform;https://www.igdb.com/games/kirby-s-dream-land;https://cdn2.steamgriddb.com/grid/c895dc8a5716d0b0a4a47459e03e89a0.png;https://www.steamgriddb.com/search/grids?term=Kirby's%20Dream%20Land
70;Unit 13;PlayStation Vita;10;FALSE;10;3,2;2012;Shooter;https://www.igdb.com/games/unit-13;https://cdn2.steamgriddb.com/grid/c783ba88865e0f3c72213d432e5c0045.png;https://www.steamgriddb.com/search/grids?term=Unit%2013
71;SOCOM;PlayStation Vita;3;FALSE;3;2,8;2005;Tactical / Shooter;https://www.igdb.com/games/socom-us-navy-seals-fireteam-bravo;https://cdn2.steamgriddb.com/grid/d4a2323bcb179e26f9c4e39398c52813.png;https://www.steamgriddb.com/search/grids?term=SOCOM%20US%20Navy%20SEALs%20Fireteam%20Bravo
